Virus	RCA-Skin-5	RCA-Vulva-5	RCA-Vulva-8	RCA-Skin-7	RCA-Vulva-3	RCA-Vulva-7	RCA-Skin-10	RCA-Skin-3	RCA-Vulva-4	RCA-Skin-8	RCA-Vulva-9	RCA-Skin-12	RCA-Skin-1	RCA-Vulva-1	RCA-Vulva-6	RCA-Skin-4	RCA-Skin-6	RCA-Vulva-10	RCA-Vulva-11	RCA-Vulva-12	RCA-Skin-11	RCA-Skin-2	RCA-Vulva-2	RCA-Skin-9
37957	60310.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.0	0
10566	2511.0	561.0	0	548.0	1212.0	298.0	1705.0	16637.0	91.0	3861.0	218.0	149.0	4.0	5.0	29.0	126.0	141.0	8.0	4.0	0	20.0	1803.0	3.0	1167.0
10579	24679.0	0	0	330.0	13408.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1203539	131.0	0	0	21.0	0	0	0	9.0	0	28.0	0	27.0	10.0	0	0	28.0	22.0	0	0	0	0	169.0	0	0
587349	1074.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
333760	68.0	0	0	55.0	0	0	398.0	10.0	0	0	0	0	0	0	0	191.0	0	0	0	0	34.0	4.0	0	0
1965344	63.0	0	0	10.0	0	0	0	215.0	0	21.0	0	6.0	0	0	0	37.0	14.0	0	0	0	6.0	230.0	0	7.0
10606	536.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.0	0	0	0	0
333924	25.0	0	0	0	0	0	0	2195.0	0	0	0	0	0	0	0	55.0	0	2.0	0	0	0	0	0	12515.0
493803	198.0	0	0	0	0	0	0	1036.0	0	327.0	0	11.0	6.0	0	0	6.0	0	0	0	0	7.0	17.0	0	29.0
10455	83.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
427343	420.0	0	0	0	0	0	1254.0	127.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1513257	93.0	0	0	0	0	0	0	436.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1034800	129.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.0	284.0	0	0
1851125	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10345	28.0	0	0	7.0	0	0	0	0	0	0	0	0	0	0	0	3.0	3.0	0	0	0	34.0	0	0	0
10616	17.0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	21.0	0	0
1891726	6.0	0	0	0	0	0	0	13.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0
2259331	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10376	5.0	2.0	0	0	0	0	0	0	0	6.0	0	0	0	0	0	0	5.0	0	0	0	0	27.0	0	0
942038	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11801	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37959	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37958	6.0	0	0	0	0	0	63.0	0	0	0	0	0	0	0	0	94.0	0	0	0	0	0	0	0	0
1846251	2.0	0	0	0	0	0	0	2.0	0	0	0	0	27.0	0	0	0	0	0	0	0	4.0	57.0	0	0
307454	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
765052	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0
587350	2.0	0	0	0	0	0	577.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31552	0	19.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340016	0	4.0	0	0	4.0	0	2.0	191.0	0	0	0	2.0	0	0	0	27.0	281.0	0	0	0	0	0	0	0
10580	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1965535	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0
746830	0	0	0	94.0	980.0	0	0	0	0	22.0	0	0	0	0	0	3631.0	0	0	0	0	16.0	0	0	46.0
2017709	0	0	0	17.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31547	0	0	0	4.0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.0	0	0	0
2583501	0	0	0	4.0	0	0	0	19.0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	9.0	0	0
333923	0	0	0	6.0	0	0	0	0	372.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2100421	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0
587347	0	0	0	0	9875.0	0	0	0	0	0	0	0	0	0	22.0	0	0	0	0	0	0	0	0	0
743811	0	0	0	0	2922.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0	0
1197953	0	0	0	0	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1519409	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
518628	0	0	0	0	12.0	0	0	0	0	29.0	4.0	0	0	0	0	0	0	0	10.0	34.0	0	0	0	0
31548	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38018	0	0	0	0	2.0	0	0	0	2.0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0
2234036	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
563190	0	0	0	0	6.0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	4.0	32.0	0	0	0	0
10588	0	0	0	0	0	18263.0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10596	0	0	0	0	0	7581.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2419647	0	0	0	0	0	22.0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0
1070418	0	0	0	0	0	86.0	4.0	0	0	0	50.0	0	0	0	0	0	0	0	0	0	0	0	0	0
765054	0	0	0	0	0	2.0	0	141.0	0	0	0	0	0	0	0	0	0	0	0	0	0	434.0	0	0
1961681	0	0	0	0	0	0	363.0	0	0	201.0	0	0	0	0	0	0	0	0	0	0	10.0	0	0	0
2202954	0	0	0	0	0	0	44.0	2.0	0	2.0	0	85.0	0	0	0	0	14.0	0	0	0	4.0	0	0	13.0
11809	0	0	0	0	0	0	14.0	0	0	0	0	0	15.0	0	0	12.0	0	0	0	0	0	0	0	0
1500798	0	0	0	0	0	0	46.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
337051	0	0	0	0	0	0	56.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1175851	0	0	0	0	0	0	123.0	197.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1851217	0	0	0	0	0	0	68.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1229789	0	0	0	0	0	0	18.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1690805	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37956	0	0	0	0	0	0	230.0	0	0	0	0	413.0	0	7.0	2015.0	0	0	0	0	0	0	0	0	935.0
1654740	0	0	0	0	0	0	13.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1747271	0	0	0	0	0	0	21.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500813	0	0	0	0	0	0	11.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2079409	0	0	0	0	0	0	21.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1941234	0	0	0	0	0	0	83.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.0
1500799	0	0	0	0	0	0	33.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1235650	0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2041560	0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2041562	0	0	0	0	0	0	25.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1655012	0	0	0	0	0	0	23.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1655020	0	0	0	0	0	0	18.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2079400	0	0	0	0	0	0	7.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2079406	0	0	0	0	0	0	15.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500829	0	0	0	0	0	0	16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1851221	0	0	0	0	0	0	29.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1655022	0	0	0	0	0	0	11.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1654780	0	0	0	0	0	0	7.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1513525	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1655023	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2041559	0	0	0	0	0	0	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500801	0	0	0	0	0	0	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2079410	0	0	0	0	0	0	11.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1229788	0	0	0	0	0	0	39.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500810	0	0	0	0	0	0	31.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500828	0	0	0	0	0	0	12.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
759390	0	0	0	0	0	0	42.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2079412	0	0	0	0	0	0	19.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1655016	0	0	0	0	0	0	7.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500817	0	0	0	0	0	0	7.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500819	0	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1235646	0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500805	0	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1229786	0	0	0	0	0	0	22.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1655014	0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1235647	0	0	0	0	0	0	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2079403	0	0	0	0	0	0	17.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2079401	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69985	0	0	0	0	0	0	4.0	21.0	0	2211.0	0	0	0	0	0	0	0	0	0	0	0	126.0	0	0
2079407	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2582948	0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500820	0	0	0	0	0	0	14.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69984	0	0	0	0	0	0	9.0	10.0	0	4.0	0	0	0	0	0	0	0	8.0	0	0	0	0	0	0
1500821	0	0	0	0	0	0	16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1229794	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2041558	0	0	0	0	0	0	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1235655	0	0	0	0	0	0	13.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1655018	0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2041561	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1235654	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
376758	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1851218	0	0	0	0	0	0	7.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2041563	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1235653	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1229782	0	0	0	0	0	0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2202563	0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	83.0	0	0	0	0	0	0	0	0
929769	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1229787	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
504501	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1655013	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1983620	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500807	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1209820	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.0	0	0
1655019	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
504553	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
696746	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	538.0	0	0
1961924	0	0	0	0	0	0	0	14722.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69987	0	0	0	0	0	0	0	2184.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
587351	0	0	0	0	0	0	0	101.0	0	1268.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1518022	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
568209	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2202565	0	0	0	0	0	0	0	2.0	0	0	0	18.0	0	0	0	0	0	0	0	0	0	0	0	0
1165934	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2488668	0	0	0	0	0	0	0	0	2.0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0
1434782	0	0	0	0	0	0	0	0	0	2887.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1175850	0	0	0	0	0	0	0	0	0	73.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
333926	0	0	0	0	0	0	0	0	0	15.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
181667	0	0	0	0	0	0	0	0	0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1851122	0	0	0	0	0	0	0	0	0	17.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1682341	0	0	0	0	0	0	0	0	0	0	20.0	10498.0	0	0	0	0	0	0	0	0	0	0	0	0
1070409	0	0	0	0	0	0	0	0	0	0	148.0	0	0	0	0	0	0	0	0	0	0	0	0	0
587348	0	0	0	0	0	0	0	0	0	0	352.0	0	0	0	0	0	0	0	0	0	0	0	0	0
986164	0	0	0	0	0	0	0	0	0	0	18.0	0	0	0	0	0	0	0	0	0	0	0	0	0
1055684	0	0	0	0	0	0	0	0	0	0	16.0	0	0	0	0	0	0	0	0	0	0	0	0	0
1195796	0	0	0	0	0	0	0	0	0	0	13.0	0	0	0	0	0	0	0	0	0	0	0	0	0
247269	0	0	0	0	0	0	0	0	0	0	154.0	0	0	0	0	0	0	0	0	0	0	0	0	0
11676	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	4.0	0	0	0	0	0	0	0
1851127	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0
1070413	0	0	0	0	0	0	0	0	0	0	0	175.0	0	0	0	0	0	0	0	0	0	0	0	0
2582939	0	0	0	0	0	0	0	0	0	0	0	276.0	0	0	0	0	0	0	0	0	0	0	0	0
909328	0	0	0	0	0	0	0	0	0	0	0	925.0	0	0	0	0	0	0	0	0	0	0	0	0
2584381	0	0	0	0	0	0	0	0	0	0	0	7.0	0	0	0	0	0	0	0	0	0	0	0	0
2500826	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0
1636578	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0
2017712	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0
186617	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0
2293282	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0
2502306	0	0	0	0	0	0	0	0	0	0	0	0	7.0	0	0	0	0	0	0	0	0	2.0	0	0
931209	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	10.0	0	0
10632	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0
45240	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0
10592	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0
279006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.0	0	0	0	0	0	0	0	0	0
10621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	1489.0	0	0
10590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0
2548127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0	0	0	0	0	0	0	0	0
1573583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0
2548114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.0	0	0	0	0	0	0	0	0
1573584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0	0	0	0	0	0	32.0	0	0
1506566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.0	0	0	0	0	0	313.0	0	0
2548118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.0	0	0	0	0	0	0	0	0
37955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.0	0	167.0	0	0	0	37.0	0	0
1506571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0	0	0	0	0	0	370.0	0	0
1506570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	10.0	0	0
2219103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0
69986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0
2016461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0
746831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0
2219119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0
10607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0
2055263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1398.0	0	0	0
444008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.0	0	0	0
444010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0
1175849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0
10359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0
444011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0
1506569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.0	0	0
1506573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.0	0	0
1434988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	969.0	0	0
1891762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.0	0	0
2259334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.0	0	0
1891764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.0	0	0
1070420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.0	0	0
64320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0	0
518630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	966.0
1188015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0
464980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0
931210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.0
1273707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0
10604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0
1962672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0
